Decoder Obj_Detector
0.026880 0.012165
0.027399 0.011818
0.048288 0.012632
0.027872 0.012287
0.027231 0.012858
0.027441 0.011819
0.027053 0.011805
0.027116 0.012022
0.027060 0.012226
0.027527 0.011987
0.026720 0.011793
0.026841 0.012451
0.031990 0.013892
0.029571 0.013826
0.026969 0.011828
0.027153 0.012615
0.028710 0.011825
0.027970 0.011835
0.049019 0.012696
0.027995 0.012026
0.028360 0.012594
0.027691 0.012067
0.048224 0.012734
0.030871 0.012786
0.027154 0.012314
0.026539 0.011986
0.026728 0.013919
0.028095 0.012415
0.031910 0.014081
0.026999 0.011746
0.028510 0.011730
0.030115 0.011994
0.027241 0.012988
0.038227 0.012938
0.027116 0.012365
0.029128 0.011736
0.028707 0.013544
0.034270 0.012021
0.027297 0.013414
0.035625 0.012430
0.027732 0.012323
0.033220 0.012882
0.027281 0.011921
0.027849 0.012055
0.027841 0.011999
0.028181 0.012118
0.030331 0.012070
0.028173 0.012704
0.027955 0.012127
0.028499 0.012736
0.027817 0.012051
0.050423 0.013347
0.026642 0.013197
0.027210 0.012022
0.027858 0.015982
0.048087 0.012208
0.029609 0.013771
0.027662 0.012159
0.029406 0.012276
0.028994 0.011897
0.028521 0.012154
0.027725 0.012025
0.028620 0.012112
0.027953 0.012148
0.028046 0.011926
0.027849 0.012067
0.027847 0.011818
0.045876 0.012734
0.027420 0.012557
0.027205 0.013465
0.028747 0.012160
0.027390 0.011967
0.029377 0.012956
0.028702 0.012059
0.027636 0.012546
0.028282 0.012066
0.028754 0.011966
0.029191 0.011983
0.027323 0.011996
0.029459 0.011994
0.028383 0.011872
0.035886 0.012557
0.027538 0.011960
0.042171 0.013740
0.027652 0.012416
0.027574 0.013550
0.031402 0.013197
0.027965 0.011976
0.028388 0.011938
0.028360 0.012775
0.042759 0.012854
0.027496 0.013465
0.027738 0.011984
0.027703 0.011916
0.027337 0.012501
0.030235 0.011960
0.028272 0.012107
0.028034 0.012063
0.027494 0.011958
0.028420 0.012177
0.028544 0.011883
0.027369 0.012838
0.040138 0.012270
0.027933 0.013149
0.028543 0.012177
0.028108 0.012221
0.035785 0.012710
0.027288 0.013907
0.031260 0.013832
0.028352 0.013029
0.027377 0.012135
0.028407 0.012045
0.044068 0.013159
0.027247 0.012293
0.027265 0.012103
0.027603 0.011875
0.046585 0.012318
0.026600 0.013882
0.027372 0.012308
0.027365 0.011908
0.028769 0.012043
0.030648 0.012796
0.029267 0.011762
0.029022 0.012644
0.026780 0.012511
0.028951 0.012066
0.027388 0.011849
0.027587 0.012160
0.029989 0.012010
0.028025 0.011921
0.027846 0.012237
0.030293 0.012240
0.041836 0.012242
0.028118 0.012149
0.028801 0.012047
0.027976 0.011950
0.027398 0.011873
0.027812 0.011964
0.027448 0.011945
0.030061 0.012772
0.027385 0.011813
0.027267 0.012353
0.028853 0.011829
0.029449 0.011859
0.027624 0.011967
0.027350 0.012164
0.029199 0.011993
0.032850 0.013062
0.031653 0.012800
0.027282 0.011912
0.027746 0.012068
0.028864 0.012039
0.027807 0.012083
0.028260 0.012022
0.027228 0.012733
0.028948 0.012013
0.027220 0.012136
0.027038 0.012091
0.027667 0.012285
0.027667 0.012244
0.029129 0.013292
0.026877 0.011955
0.026900 0.012183
0.034126 0.012603
0.027356 0.012586
0.044566 0.013387
0.027163 0.013023
0.026847 0.013020
0.027036 0.011927
0.030802 0.015266
0.035402 0.014052
0.049083 0.012987
0.027126 0.012996
0.026917 0.011898
0.027154 0.012064
0.038570 0.012179
0.027627 0.011945
0.028874 0.011775
0.028050 0.012087
0.028049 0.014889
0.028726 0.012832
0.027737 0.011662
0.042759 0.012428
0.028066 0.013413
0.034447 0.013080
0.027613 0.012076
0.027531 0.013047
0.031397 0.012970
0.027773 0.011961
0.027679 0.011907
0.027681 0.012169
0.028003 0.012228
0.028071 0.012027
0.027801 0.012078
0.027983 0.012023
0.029266 0.012268
0.027583 0.012064
0.027700 0.012150
0.027239 0.011880
0.028417 0.012164
0.036999 0.012157
0.027411 0.011832
0.035476 0.011816
0.028489 0.011744
0.027354 0.011869
0.027733 0.012060
0.027194 0.012034
0.027954 0.012082
0.027917 0.012148
0.027576 0.011790
0.027262 0.011888
0.027488 0.012011
0.027492 0.011805
0.029837 0.011840
0.027687 0.011846
0.027397 0.011833
0.028431 0.011765
0.027188 0.011954
0.027034 0.011893
0.026840 0.012258
0.026619 0.012730
0.036281 0.013441
0.035225 0.012468
0.026393 0.012997
0.026297 0.012162
0.027381 0.012005
0.027521 0.012963
0.033817 0.012399
0.029927 0.013781
0.027580 0.013138
0.028283 0.012155
0.028311 0.012278
0.026756 0.012058
0.026479 0.013371
0.026869 0.013004
0.026278 0.012150
0.027901 0.012164
